ID,Number,Name,Description
1,1,First Judicial District,"Benewah, Bonner, Boundary, Kootenai, Shoshone"
2,2,Second Judicial District,"Clearwater, Idaho, Latah, Lewis, Nez Perce"
3,3,Third Judicial District,"Adams, Canyon, Gem, Owyhee, Payette, Washington"
4,4,Fourth Judicial District,"Ada, Boise, Elmore, Valley"
5,5,Fifth Judicial District,"Blaine, Camas, Cassia, Gooding, Jerome, Lincoln, Minidoka, Twin Falls"
6,6,Sixth Judicial District,"Bannock, Bear Lake, Caribou, Franklin, Oneida, Power"
7,7,Seventh Judicial District,"Bingham, Bonneville, Butte, Clark, Custer, Fremont, Jefferson, Lemhi, Madison, Teton"
